TitleVideo,Link,View,Date,Thumb
CKTG 2024: T1 VS BLG | FULL BO5 | CHUNG KẾT,https://www.youtube.com/watch?v=hD1DRGfKrE4,86K views,1 month ago,https://i.ytimg.com/vi/hD1DRGfKrE4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBbt62igFdCgywB6gTP24GbaXuc7g
SOFM | DAILY #2: TRỞ VỀ HÀ NỘI/THAM QUAN THUỶ CUNG LOTTE TÂY HỒ/DẠO QUANH PHỐ PHƯỜNG MÙA THU 🍂,https://www.youtube.com/watch?v=KOqvIWqwySc,75K views,1 month ago,https://i.ytimg.com/vi/KOqvIWqwySc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAS0kwUxaxwXzYAToborRnmUIBcww
"CKTG 2024: T1 VS GENG FULL GAME 1, 3, 4 | VÒNG BÁN KẾT 2",https://www.youtube.com/watch?v=BOi-a_1zl7o,88K views,1 month ago,https://i.ytimg.com/vi/BOi-a_1zl7o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCTYqBantmAKgHcmV6nGe5OV4Mm_A
SOFM | DAILY #1: ĂN MÌ/CHƠI GAME BUỔI TỐI,https://www.youtube.com/watch?v=-D3iB85wE1c,65K views,2 months ago,https://i.ytimg.com/vi/-D3iB85wE1c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDG17LNB6yxL9Go2TNswiKlQVwwpQ
"GACHA ""TỰ TÌM"" ĐẾN TÔI - SOFM TRẢI NGHIỆM ZENLESS ZONE ZERO",https://www.youtube.com/watch?v=sB67Nlp2qW0,700K views,5 months ago,https://i.ytimg.com/vi/sB67Nlp2qW0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDDbHcyfcJvLcu3e8wM4UnLYP_Ciw
VIDEO NÀY SOFM END GAME TRONG 15 PHÚT VỚI BÀI TỦ SYLAS,https://www.youtube.com/watch?v=Nw8GZIEHp6s,110K views,5 months ago,https://i.ytimg.com/vi/Nw8GZIEHp6s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC81sTNoS9Sq0AWOhpBiQcGkH6T7A
Muốn chơi game đỉnh như SofM thì nên có cái này!,https://www.youtube.com/watch?v=ZhajpqqkB5Y,45K views,5 months ago,https://i.ytimg.com/vi/ZhajpqqkB5Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCAzFIxDhYNRex1SkbzzosamomTuQ
KHUẤY ĐẢO ĐƯỜNG TRÊN CÙNG CON BÀI ZAC - CÁCH ĐI ĐƯỜNG VS PHÁP SƯ TAY DÀI,https://www.youtube.com/watch?v=e_ck5pnlOYg,66K views,5 months ago,https://i.ytimg.com/vi/e_ck5pnlOYg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDGsUC9eTZ1wpIBOFuy0P35x68ToQ
(TẮT CAM TRY HARD) TRỞ LẠI KHU RỪNG VỚI CON BÀI TỦ LEESIN.,https://www.youtube.com/watch?v=yFSONXdU0eg,223K views,5 months ago,https://i.ytimg.com/vi/yFSONXdU0eg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDDAI4wX6PT7Wsqvm5Lmi8zAcFM-w
SOFM VÀ CON BÀI HWEI PHÁ ĐẢO ĐẤU TRƯỜNG | SPAM CHIÊU ĐẾN CHẾTTT,https://www.youtube.com/watch?v=m5pKIIWeQmI,76K views,6 months ago,https://i.ytimg.com/vi/m5pKIIWeQmI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAQGrY8IjfGbYwrvlcuzNUcKXwVXQ
